creative_id,scheduled_date,time_slot,series,hook,beat1_prompt,beat2_prompt,beat3_prompt,ref_url,status,rendered_at
RITA-D06-MOR,2026-09-26,morning,rita,The neighborhood dogs have a group chat.,"Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single clever raccoon, dark eye mask, small pink backpack. Character hides behind a mailbox holding a phone with too many notifications, and says the hook. The character speaks in a confident, mischievous female raccoon voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single clever raccoon, dark eye mask, small pink backpack. Character scrolls the phone with wide eyes and says: Apparently I'm 'the raccoon problem'. Rude. I have a resume.. The character speaks in a confident, mischievous female raccoon voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single clever raccoon, dark eye mask, small pink backpack. Character smirks to camera as a small bag of chips falls from a delivery drone, and says: Also they're wrong. I'm the raccoon solution.. The character speaks in a confident, mischievous female raccoon voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.",https://raw.githubusercontent.com/dkgrissom-tech/Ora-auto/main/brands/toolstack/assets/refs/rita_ref.png,queued,
RITA-D06-EVE,2026-09-26,evening,rita,The neighborhood dogs have a group chat.,"Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single clever raccoon, dark eye mask, small pink backpack. Character hides behind a mailbox holding a phone with too many notifications, and says the hook. The character speaks in a confident, mischievous female raccoon voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single clever raccoon, dark eye mask, small pink backpack. Character scrolls the phone with wide eyes and says: Apparently I'm 'the raccoon problem'. Rude. I have a resume.. The character speaks in a confident, mischievous female raccoon voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single clever raccoon, dark eye mask, small pink backpack. Character smirks to camera as a small bag of chips falls from a delivery drone, and says: Also they're wrong. I'm the raccoon solution.. The character speaks in a confident, mischievous female raccoon voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.",https://raw.githubusercontent.com/dkgrissom-tech/Ora-auto/main/brands/toolstack/assets/refs/rita_ref.png,queued,
BARKLEY-D07-MOR,2026-09-27,morning,barkley,The mailman is running a smuggling ring.,"Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single golden retriever detective, rumpled trench coat, fedora tilted low. Character peers through venetian blinds and says the hook to camera in a low growl. The character speaks in a hardboiled, gravelly male dog voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single golden retriever detective, rumpled trench coat, fedora tilted low. Character opens a manilla folder full of chewed-up envelopes and says: Every package. Every day. Same suspicious tail wag.. The character speaks in a hardboiled, gravelly male dog voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single golden retriever detective, rumpled trench coat, fedora tilted low. Character adjusts his hat and says: Backup arrives in the form of the squirrel across the street. She owes me one.. The character speaks in a hardboiled, gravelly male dog voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.",https://raw.githubusercontent.com/dkgrissom-tech/Ora-auto/main/brands/toolstack/assets/refs/barkley_ref.png,queued,
BARKLEY-D07-EVE,2026-09-27,evening,barkley,The mailman is running a smuggling ring.,"Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single golden retriever detective, rumpled trench coat, fedora tilted low. Character peers through venetian blinds and says the hook to camera in a low growl. The character speaks in a hardboiled, gravelly male dog voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single golden retriever detective, rumpled trench coat, fedora tilted low. Character opens a manilla folder full of chewed-up envelopes and says: Every package. Every day. Same suspicious tail wag.. The character speaks in a hardboiled, gravelly male dog voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single golden retriever detective, rumpled trench coat, fedora tilted low. Character adjusts his hat and says: Backup arrives in the form of the squirrel across the street. She owes me one.. The character speaks in a hardboiled, gravelly male dog voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.",https://raw.githubusercontent.com/dkgrissom-tech/Ora-auto/main/brands/toolstack/assets/refs/barkley_ref.png,queued,
MILO2-D08-MOR,2026-09-28,morning,milo2,My cat-boss took credit for my quarterly report.,"Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single fluffy orange tabby cat, big green eyes, small white chest, loose sky-blue tie. Character sits at a laptop with a spreadsheet open, glares at camera, and says the hook. The character speaks in a slightly whiny, deadpan, put-upon male cat voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single fluffy orange tabby cat, big green eyes, small white chest, loose sky-blue tie. Character holds up a coffee mug that reads BOSS with the S covered by a sticky note that reads SIER, and says: I have receipts. Literally.. The character speaks in a slightly whiny, deadpan, put-upon male cat voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single fluffy orange tabby cat, big green eyes, small white chest, loose sky-blue tie. Character leans back with his paws behind his head and says: HR loves receipts. So does the pigeon in accounting.. The character speaks in a slightly whiny, deadpan, put-upon male cat voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.",https://raw.githubusercontent.com/dkgrissom-tech/Ora-auto/main/brands/toolstack/assets/refs/milo2_ref.png,queued,
MILO2-D08-EVE,2026-09-28,evening,milo2,My cat-boss took credit for my quarterly report.,"Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single fluffy orange tabby cat, big green eyes, small white chest, loose sky-blue tie. Character sits at a laptop with a spreadsheet open, glares at camera, and says the hook. The character speaks in a slightly whiny, deadpan, put-upon male cat voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single fluffy orange tabby cat, big green eyes, small white chest, loose sky-blue tie. Character holds up a coffee mug that reads BOSS with the S covered by a sticky note that reads SIER, and says: I have receipts. Literally.. The character speaks in a slightly whiny, deadpan, put-upon male cat voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single fluffy orange tabby cat, big green eyes, small white chest, loose sky-blue tie. Character leans back with his paws behind his head and says: HR loves receipts. So does the pigeon in accounting.. The character speaks in a slightly whiny, deadpan, put-upon male cat voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.",https://raw.githubusercontent.com/dkgrissom-tech/Ora-auto/main/brands/toolstack/assets/refs/milo2_ref.png,queued,
MILO-D09-MOR,2026-09-29,morning,milo,I got assigned a mandatory team-building retreat.,"Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single fluffy orange tabby cat, big green eyes, small white chest, loose sky-blue tie. Character reads a printed email at his desk, ears flattening, says the hook to camera. The character speaks in a slightly whiny, deadpan, put-upon male cat voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single fluffy orange tabby cat, big green eyes, small white chest, loose sky-blue tie. Character packs a tiny duffel with three sardines and a taser, and says: I am legally required to trust-fall onto Kevin.. The character speaks in a slightly whiny, deadpan, put-upon male cat voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single fluffy orange tabby cat, big green eyes, small white chest, loose sky-blue tie. Character wipes his brow at the camera and says: Update: Kevin didn't catch me. Kevin is no longer with the company.. The character speaks in a slightly whiny, deadpan, put-upon male cat voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.",https://raw.githubusercontent.com/dkgrissom-tech/Ora-auto/main/brands/toolstack/assets/refs/milo_ref.png,queued,
MILO-D09-EVE,2026-09-29,evening,milo,I got assigned a mandatory team-building retreat.,"Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single fluffy orange tabby cat, big green eyes, small white chest, loose sky-blue tie. Character reads a printed email at his desk, ears flattening, says the hook to camera. The character speaks in a slightly whiny, deadpan, put-upon male cat voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single fluffy orange tabby cat, big green eyes, small white chest, loose sky-blue tie. Character packs a tiny duffel with three sardines and a taser, and says: I am legally required to trust-fall onto Kevin.. The character speaks in a slightly whiny, deadpan, put-upon male cat voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single fluffy orange tabby cat, big green eyes, small white chest, loose sky-blue tie. Character wipes his brow at the camera and says: Update: Kevin didn't catch me. Kevin is no longer with the company.. The character speaks in a slightly whiny, deadpan, put-upon male cat voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.",https://raw.githubusercontent.com/dkgrissom-tech/Ora-auto/main/brands/toolstack/assets/refs/milo_ref.png,queued,
RITA-D10-MOR,2026-09-30,morning,rita,Someone tried to raccoon-proof the trash.,"Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single clever raccoon, dark eye mask, small pink backpack. Character circles a shiny new locking trash can and says the hook, deadpan. The character speaks in a confident, mischievous female raccoon voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single clever raccoon, dark eye mask, small pink backpack. Character pops the lid open with one paw and says: They put a code on it. The code is: raccoons can read.. The character speaks in a confident, mischievous female raccoon voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single clever raccoon, dark eye mask, small pink backpack. Character poses next to the open can holding a half-eaten pizza slice and says: This block has been under new management since Tuesday.. The character speaks in a confident, mischievous female raccoon voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.",https://raw.githubusercontent.com/dkgrissom-tech/Ora-auto/main/brands/toolstack/assets/refs/rita_ref.png,queued,
RITA-D10-EVE,2026-09-30,evening,rita,Someone tried to raccoon-proof the trash.,"Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single clever raccoon, dark eye mask, small pink backpack. Character circles a shiny new locking trash can and says the hook, deadpan. The character speaks in a confident, mischievous female raccoon voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single clever raccoon, dark eye mask, small pink backpack. Character pops the lid open with one paw and says: They put a code on it. The code is: raccoons can read.. The character speaks in a confident, mischievous female raccoon voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single clever raccoon, dark eye mask, small pink backpack. Character poses next to the open can holding a half-eaten pizza slice and says: This block has been under new management since Tuesday.. The character speaks in a confident, mischievous female raccoon voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.",https://raw.githubusercontent.com/dkgrissom-tech/Ora-auto/main/brands/toolstack/assets/refs/rita_ref.png,queued,
