creative_id,scheduled_date,time_slot,hook_type,hook,caption,tags,pinterest_title,script,scene1_start,scene1_end,scene1_prompt,scene2_start,scene2_end,scene2_prompt,scene3_start,scene3_end,scene3_prompt,scene4_start,scene4_end,scene4_prompt,status,rendered_at
HH-D06-MOR,2026-09-28,morning,vibe,Where the porches sag and the hearts don't.,Where the porches sag and the hearts don't.,#BookTok #SmallTownRomance #CedarHollow #HandyHearts #DKGrissom,Handy Hearts: Where the porches sag and the hearts don't,"Cedar Hollow, Tennessee. Where the porches sag and the hearts don't. Handy Hearts. Book One. Coming soon from D.K. Grissom.",0.0,4.0,"Vertical shot: Cedar Hollow small Southern town at golden hour, wildflowers by a country road, wooden storefronts and covered porches, warm painterly light. No text, no books, no author names.",4.0,8.0,"Vertical wide shot of an old wooden Southern porch in disrepair, weathered peeling paint, a broken step board and sagging railing, wildflowers growing around the base, warm golden hour light. No text, no books, no author names.",8.0,12.0,"Vertical shot: a wildflower meadow at dusk with fireflies rising, warm amber glow on the horizon, distant lights of a small town. No text, no books, no author names.",12.0,17.5,"Vertical hero shot: an empty rustic wooden table surface in warm golden light, with a steaming mug of coffee to one side and dried wildflowers to the other. Leave the center of the table completely empty. No books, no text, no covers, no author names anywhere in the frame.",queued,
HH-D06-EVE,2026-09-28,evening,pov,Wes tried to warn her. Nobody warns Dana.,Wes tried to warn her. Nobody warns Dana.,#BookTok #Romance #CedarHollow #HandyHearts #DKGrissom #BookLovers,Handy Hearts: Wes tried to warn her. Nobody warns Dana,Meet Wes. Local vet. Don's best friend since the third grade. He tried to warn her. But nobody warns Dana. Handy Hearts. Coming soon from D.K. Grissom.,0.0,4.0,"Vertical shot: Cedar Hollow small Southern town at golden hour, wildflowers by a country road, wooden storefronts and covered porches, warm painterly light. No text, no books, no author names.",4.0,8.0,"Vertical close-up: weathered blue-collar carpenter hands working with a hammer on wood on a covered porch, warm evening light, sawdust in the air. No text, no books, no author names.",8.0,12.0,"Vertical warm interior shot: small-town library with tall wooden shelves, soft afternoon light streaming through arched windows, a single reading chair by a window, wildflowers on a table. No text, no books visible on shelves, no author names.",12.0,17.5,"Vertical hero shot: an empty rustic wooden table surface in warm golden light, with a steaming mug of coffee to one side and dried wildflowers to the other. Leave the center of the table completely empty. No books, no text, no covers, no author names anywhere in the frame.",queued,
HH-D07-MOR,2026-09-29,morning,trope,Grumpy widower. Sunshine librarian. You know how this ends.,Grumpy widower. Sunshine librarian. You know how this ends.,#BookTok #SlowBurn #GrumpySunshine #CedarHollow #HandyHearts #DKGrissom,Handy Hearts: Grumpy widower. Sunshine librarian. You know how this ends,Grumpy widower. Sunshine librarian. Small town where everybody knows. You already know how this one ends. And you're gonna love every page. Handy Hearts. Coming soon from D.K. Grissom.,0.0,4.0,"Vertical shot: Cedar Hollow small Southern town at golden hour, wildflowers by a country road, wooden storefronts and covered porches, warm painterly light. No text, no books, no author names.",4.0,8.0,"Vertical close-up: a leather tool belt, hammer, and coiled measuring tape resting on weathered wooden porch boards, golden hour light. No text, no books, no author names.",8.0,12.0,"Vertical shot: a wooden rocking chair on a covered Southern porch at sunset, two mismatched coffee mugs on a small table, wildflowers in a mason jar. No text, no books, no author names.",12.0,17.5,"Vertical hero shot: an empty rustic wooden table surface in warm golden light, with a steaming mug of coffee to one side and dried wildflowers to the other. Leave the center of the table completely empty. No books, no text, no covers, no author names anywhere in the frame.",queued,
HH-D07-EVE,2026-09-29,evening,beat,"Broken things can be beautiful, too.","Broken things can be beautiful, too.",#BookTok #Romance #HealingLove #CedarHollow #HandyHearts #DKGrissom,"Handy Hearts: Broken things can be beautiful, too","Broken things can be beautiful, too. That's the first thing Cedar Hollow will teach you. Handy Hearts. A Cedar Hollow novel. Coming soon from D.K. Grissom.",0.0,4.0,"Vertical shot: a wildflower meadow at dusk with fireflies rising, warm amber glow on the horizon, distant lights of a small town. No text, no books, no author names.",4.0,8.0,"Vertical wide shot of an old wooden Southern porch in disrepair, weathered peeling paint, a broken step board and sagging railing, wildflowers growing around the base, warm golden hour light. No text, no books, no author names.",8.0,12.0,"Vertical shot: a wooden rocking chair on a covered Southern porch at sunset, two mismatched coffee mugs on a small table, wildflowers in a mason jar. No text, no books, no author names.",12.0,17.5,"Vertical hero shot: an empty rustic wooden table surface in warm golden light, with a steaming mug of coffee to one side and dried wildflowers to the other. Leave the center of the table completely empty. No books, no text, no covers, no author names anywhere in the frame.",queued,
HH-D08-MOR,2026-09-30,morning,pov,He hadn't laughed in three years. She made him laugh in three minutes.,He hadn't laughed in three years. She made him laugh in three minutes.,#BookTok #Romance #CedarHollow #HandyHearts #DKGrissom #BookLovers,Handy Hearts: He hadn't laughed in three years. She made him laugh in three minutes,He hadn't laughed in three years. She made him laugh in three minutes. Then she asked about the porch. Handy Hearts. Coming soon from D.K. Grissom.,0.0,4.0,"Vertical shot: Cedar Hollow small Southern town at golden hour, wildflowers by a country road, wooden storefronts and covered porches, warm painterly light. No text, no books, no author names.",4.0,8.0,"Vertical close-up: weathered blue-collar carpenter hands working with a hammer on wood on a covered porch, warm evening light, sawdust in the air. No text, no books, no author names.",8.0,12.0,"Vertical warm interior shot: small-town library with tall wooden shelves, soft afternoon light streaming through arched windows, a single reading chair by a window, wildflowers on a table. No text, no books visible on shelves, no author names.",12.0,17.5,"Vertical hero shot: an empty rustic wooden table surface in warm golden light, with a steaming mug of coffee to one side and dried wildflowers to the other. Leave the center of the table completely empty. No books, no text, no covers, no author names anywhere in the frame.",queued,
HH-D08-EVE,2026-09-30,evening,vibe,Cedar Hollow is waiting.,Cedar Hollow is waiting.,#BookTok #SmallTownRomance #CedarHollow #HandyHearts #DKGrissom,Handy Hearts: Cedar Hollow is waiting,"Cedar Hollow is waiting. There's a broken porch on Magnolia Street, and a librarian who just moved in across the way. Handy Hearts. Book One. Coming soon from D.K. Grissom.",0.0,4.0,"Vertical shot: Cedar Hollow small Southern town at golden hour, wildflowers by a country road, wooden storefronts and covered porches, warm painterly light. No text, no books, no author names.",4.0,8.0,"Vertical wide shot of an old wooden Southern porch in disrepair, weathered peeling paint, a broken step board and sagging railing, wildflowers growing around the base, warm golden hour light. No text, no books, no author names.",8.0,12.0,"Vertical shot: a wildflower meadow at dusk with fireflies rising, warm amber glow on the horizon, distant lights of a small town. No text, no books, no author names.",12.0,17.5,"Vertical hero shot: an empty rustic wooden table surface in warm golden light, with a steaming mug of coffee to one side and dried wildflowers to the other. Leave the center of the table completely empty. No books, no text, no covers, no author names anywhere in the frame.",queued,
HH-D09-MOR,2026-10-01,morning,pov,The librarian brought casseroles. He didn't know what to do with casseroles.,The librarian brought casseroles. He didn't know what to do with casseroles.,#BookTok #Romance #CedarHollow #HandyHearts #DKGrissom #BookLovers,Handy Hearts: The librarian brought casseroles. He didn't know what to do with casseroles,The librarian brought casseroles. She brought books. She brought light. He didn't know what to do with any of it. Handy Hearts. Coming soon from D.K. Grissom.,0.0,4.0,"Vertical shot: Cedar Hollow small Southern town at golden hour, wildflowers by a country road, wooden storefronts and covered porches, warm painterly light. No text, no books, no author names.",4.0,8.0,"Vertical close-up: weathered blue-collar carpenter hands working with a hammer on wood on a covered porch, warm evening light, sawdust in the air. No text, no books, no author names.",8.0,12.0,"Vertical warm interior shot: small-town library with tall wooden shelves, soft afternoon light streaming through arched windows, a single reading chair by a window, wildflowers on a table. No text, no books visible on shelves, no author names.",12.0,17.5,"Vertical hero shot: an empty rustic wooden table surface in warm golden light, with a steaming mug of coffee to one side and dried wildflowers to the other. Leave the center of the table completely empty. No books, no text, no covers, no author names anywhere in the frame.",queued,
HH-D09-EVE,2026-10-01,evening,trope,Second chance romance done right.,Second chance romance done right.,#BookTok #SlowBurn #GrumpySunshine #CedarHollow #HandyHearts #DKGrissom,Handy Hearts: Second chance romance done right,"Second chance romance done right. Small town. Slow burn. One carpenter who forgot how to hope, and the librarian who reminded him. Handy Hearts. Coming soon from D.K. Grissom.",0.0,4.0,"Vertical shot: Cedar Hollow small Southern town at golden hour, wildflowers by a country road, wooden storefronts and covered porches, warm painterly light. No text, no books, no author names.",4.0,8.0,"Vertical close-up: a leather tool belt, hammer, and coiled measuring tape resting on weathered wooden porch boards, golden hour light. No text, no books, no author names.",8.0,12.0,"Vertical shot: a wooden rocking chair on a covered Southern porch at sunset, two mismatched coffee mugs on a small table, wildflowers in a mason jar. No text, no books, no author names.",12.0,17.5,"Vertical hero shot: an empty rustic wooden table surface in warm golden light, with a steaming mug of coffee to one side and dried wildflowers to the other. Leave the center of the table completely empty. No books, no text, no covers, no author names anywhere in the frame.",queued,
HH-D10-MOR,2026-10-02,morning,beat,You don't rebuild a life. You just start hammering.,You don't rebuild a life. You just start hammering.,#BookTok #Romance #HealingLove #CedarHollow #HandyHearts #DKGrissom,Handy Hearts: You don't rebuild a life. You just start hammering,"You don't rebuild a life all at once. You just start hammering, one board at a time. Handy Hearts. A Cedar Hollow novel. Coming soon from D.K. Grissom.",0.0,4.0,"Vertical shot: a wildflower meadow at dusk with fireflies rising, warm amber glow on the horizon, distant lights of a small town. No text, no books, no author names.",4.0,8.0,"Vertical wide shot of an old wooden Southern porch in disrepair, weathered peeling paint, a broken step board and sagging railing, wildflowers growing around the base, warm golden hour light. No text, no books, no author names.",8.0,12.0,"Vertical shot: a wooden rocking chair on a covered Southern porch at sunset, two mismatched coffee mugs on a small table, wildflowers in a mason jar. No text, no books, no author names.",12.0,17.5,"Vertical hero shot: an empty rustic wooden table surface in warm golden light, with a steaming mug of coffee to one side and dried wildflowers to the other. Leave the center of the table completely empty. No books, no text, no covers, no author names anywhere in the frame.",queued,
HH-D10-EVE,2026-10-02,evening,countdown,Handy Hearts is coming.,Handy Hearts is coming.,#ComingSoon #BookTok #NewRelease #CedarHollow #HandyHearts #DKGrissom,Handy Hearts: Handy Hearts is coming,"Handy Hearts is coming. The first book in a new heartfelt Southern romance series, from D.K. Grissom. Cedar Hollow. Book One. Coming soon.",0.0,4.0,"Vertical shot: Cedar Hollow small Southern town at golden hour, wildflowers by a country road, wooden storefronts and covered porches, warm painterly light. No text, no books, no author names.",4.0,8.0,"Vertical shot: an old red pickup truck driving down a country dirt road past wildflower fields at golden hour, Cedar Hollow town sign in the distance. No text, no books, no author names.",8.0,12.0,"Vertical shot: a small white Southern church steeple against a burning orange sunset, wildflowers in the foreground, warm painterly light. No text, no books, no author names.",12.0,17.5,"Vertical hero shot: an empty rustic wooden table surface in warm golden light, with a steaming mug of coffee to one side and dried wildflowers to the other. Leave the center of the table completely empty. No books, no text, no covers, no author names anywhere in the frame.",queued,
HH-D11-MOR,2026-10-03,morning,vibe,There are no strangers in Cedar Hollow. Only stories.,There are no strangers in Cedar Hollow. Only stories.,#BookTok #SmallTownRomance #CedarHollow #HandyHearts #DKGrissom,Handy Hearts: There are no strangers in Cedar Hollow. Only stories,There are no strangers in Cedar Hollow. Only stories waiting to be swapped over a porch rail. Handy Hearts. Book One. Coming soon from D.K. Grissom.,0.0,4.0,"Vertical shot: Cedar Hollow small Southern town at golden hour, wildflowers by a country road, wooden storefronts and covered porches, warm painterly light. No text, no books, no author names.",4.0,8.0,"Vertical wide shot of an old wooden Southern porch in disrepair, weathered peeling paint, a broken step board and sagging railing, wildflowers growing around the base, warm golden hour light. No text, no books, no author names.",8.0,12.0,"Vertical shot: a wildflower meadow at dusk with fireflies rising, warm amber glow on the horizon, distant lights of a small town. No text, no books, no author names.",12.0,17.5,"Vertical hero shot: an empty rustic wooden table surface in warm golden light, with a steaming mug of coffee to one side and dried wildflowers to the other. Leave the center of the table completely empty. No books, no text, no covers, no author names anywhere in the frame.",queued,
HH-D11-EVE,2026-10-03,evening,pov,She read to the kids on Saturdays. He listened from the truck.,She read to the kids on Saturdays. He listened from the truck.,#BookTok #Romance #CedarHollow #HandyHearts #DKGrissom #BookLovers,Handy Hearts: She read to the kids on Saturdays. He listened from the truck,She read to the kids on Saturdays at the library steps. He parked his truck across the street and pretended not to listen. Everyone knew he was listening. Handy Hearts. Coming soon from D.K. Grissom.,0.0,4.0,"Vertical shot: Cedar Hollow small Southern town at golden hour, wildflowers by a country road, wooden storefronts and covered porches, warm painterly light. No text, no books, no author names.",4.0,8.0,"Vertical close-up: weathered blue-collar carpenter hands working with a hammer on wood on a covered porch, warm evening light, sawdust in the air. No text, no books, no author names.",8.0,12.0,"Vertical warm interior shot: small-town library with tall wooden shelves, soft afternoon light streaming through arched windows, a single reading chair by a window, wildflowers on a table. No text, no books visible on shelves, no author names.",12.0,17.5,"Vertical hero shot: an empty rustic wooden table surface in warm golden light, with a steaming mug of coffee to one side and dried wildflowers to the other. Leave the center of the table completely empty. No books, no text, no covers, no author names anywhere in the frame.",queued,
HH-D12-MOR,2026-10-04,morning,trope,Widowed hero. Small town. Big feelings.,Widowed hero. Small town. Big feelings.,#BookTok #SlowBurn #GrumpySunshine #CedarHollow #HandyHearts #DKGrissom,Handy Hearts: Widowed hero. Small town. Big feelings,"Widowed hero. Small Southern town. Big feelings and slow-burning love. If that's your shelf, Handy Hearts is your next read. Coming soon from D.K. Grissom.",0.0,4.0,"Vertical shot: Cedar Hollow small Southern town at golden hour, wildflowers by a country road, wooden storefronts and covered porches, warm painterly light. No text, no books, no author names.",4.0,8.0,"Vertical close-up: a leather tool belt, hammer, and coiled measuring tape resting on weathered wooden porch boards, golden hour light. No text, no books, no author names.",8.0,12.0,"Vertical shot: a wooden rocking chair on a covered Southern porch at sunset, two mismatched coffee mugs on a small table, wildflowers in a mason jar. No text, no books, no author names.",12.0,17.5,"Vertical hero shot: an empty rustic wooden table surface in warm golden light, with a steaming mug of coffee to one side and dried wildflowers to the other. Leave the center of the table completely empty. No books, no text, no covers, no author names anywhere in the frame.",queued,
HH-D12-EVE,2026-10-04,evening,beat,Healing looks a lot like a Saturday morning porch.,Healing looks a lot like a Saturday morning porch.,#BookTok #Romance #HealingLove #CedarHollow #HandyHearts #DKGrissom,Handy Hearts: Healing looks a lot like a Saturday morning porch,"Turns out healing doesn't look like a mountaintop. It looks like a Saturday morning porch, two mugs of coffee, and someone who stayed. Handy Hearts. Coming soon from D.K. Grissom.",0.0,4.0,"Vertical shot: a wildflower meadow at dusk with fireflies rising, warm amber glow on the horizon, distant lights of a small town. No text, no books, no author names.",4.0,8.0,"Vertical wide shot of an old wooden Southern porch in disrepair, weathered peeling paint, a broken step board and sagging railing, wildflowers growing around the base, warm golden hour light. No text, no books, no author names.",8.0,12.0,"Vertical shot: a wooden rocking chair on a covered Southern porch at sunset, two mismatched coffee mugs on a small table, wildflowers in a mason jar. No text, no books, no author names.",12.0,17.5,"Vertical hero shot: an empty rustic wooden table surface in warm golden light, with a steaming mug of coffee to one side and dried wildflowers to the other. Leave the center of the table completely empty. No books, no text, no covers, no author names anywhere in the frame.",queued,
HH-D13-MOR,2026-10-05,morning,pov,His late wife loved wildflowers. Dana didn't know that yet.,His late wife loved wildflowers. Dana didn't know that yet.,#BookTok #Romance #CedarHollow #HandyHearts #DKGrissom #BookLovers,Handy Hearts: His late wife loved wildflowers. Dana didn't know that yet,Don's late wife planted wildflowers in every corner of the yard. Dana didn't know that yet. She'd learn. She always did. Handy Hearts. Coming soon from D.K. Grissom.,0.0,4.0,"Vertical shot: Cedar Hollow small Southern town at golden hour, wildflowers by a country road, wooden storefronts and covered porches, warm painterly light. No text, no books, no author names.",4.0,8.0,"Vertical close-up: weathered blue-collar carpenter hands working with a hammer on wood on a covered porch, warm evening light, sawdust in the air. No text, no books, no author names.",8.0,12.0,"Vertical warm interior shot: small-town library with tall wooden shelves, soft afternoon light streaming through arched windows, a single reading chair by a window, wildflowers on a table. No text, no books visible on shelves, no author names.",12.0,17.5,"Vertical hero shot: an empty rustic wooden table surface in warm golden light, with a steaming mug of coffee to one side and dried wildflowers to the other. Leave the center of the table completely empty. No books, no text, no covers, no author names anywhere in the frame.",queued,
HH-D13-EVE,2026-10-05,evening,vibe,One town. One porch. One hammer. One heart.,One town. One porch. One hammer. One heart.,#BookTok #SmallTownRomance #CedarHollow #HandyHearts #DKGrissom,Handy Hearts: One town. One porch. One hammer. One heart,"One town. One busted porch. One weathered hammer. One heart that forgot how to open. Handy Hearts. Cedar Hollow, Book One. Coming soon from D.K. Grissom.",0.0,4.0,"Vertical shot: Cedar Hollow small Southern town at golden hour, wildflowers by a country road, wooden storefronts and covered porches, warm painterly light. No text, no books, no author names.",4.0,8.0,"Vertical wide shot of an old wooden Southern porch in disrepair, weathered peeling paint, a broken step board and sagging railing, wildflowers growing around the base, warm golden hour light. No text, no books, no author names.",8.0,12.0,"Vertical shot: a wildflower meadow at dusk with fireflies rising, warm amber glow on the horizon, distant lights of a small town. No text, no books, no author names.",12.0,17.5,"Vertical hero shot: an empty rustic wooden table surface in warm golden light, with a steaming mug of coffee to one side and dried wildflowers to the other. Leave the center of the table completely empty. No books, no text, no covers, no author names anywhere in the frame.",queued,
